edge_id,start_lat,start_lon,end_lat,end_lon
-375100792,10.311867451142595,47.713462784257054,10.311799329188194,47.713632992796924
-40871710,10.327119124092249,47.71641513434881,10.326072875502838,47.715915882683476
-40871713,10.323923212959421,47.71572142926562,10.325086011576602,47.715738688902924
-49776167#0,10.311212324578259,47.72394161154871,10.313257572041339,47.72421461011852
-52079212,10.322114027285302,47.7248145548414,10.315986987748714,47.72861864413532
-52415509,10.30938778016689,47.735281362007825,10.309389884294566,47.73528016827993
-52456595,10.314226485073156,47.72783441513748,10.314805370971712,47.728458441758626
-55824108,10.313792898512874,47.7096387964715,10.313822774233918,47.709527960588574
-56142550,10.308008467893211,47.73792076846465,10.308215559365198,47.738477532196406
-58082435,10.320200945198025,47.71619666601258,10.320095572221499,47.716332216417655
-58704426,10.322257865061577,47.72477573627169,10.323330065275698,47.7253567833245
-60573171,10.317952538144466,47.724017532741016,10.322095464306184,47.72470283553742
-60573867,10.31006029817462,47.72842345739435,10.310277363196247,47.72737426055586
-60573870#0,10.310749246221924,47.728827510300064,10.310749105283842,47.72877406476771
-60573870#1,10.311059631868764,47.72901552816186,10.310793811059671,47.72888683681831
-60573872,10.314807244284752,47.72845869022802,10.315579355534469,47.728557274412644
-70542978#1,10.312887193778973,47.736576698449426,10.312858964940233,47.73660513963186
-70542981#0,10.312517222630975,47.73690957645852,10.312444921060818,47.73697293832615
-70542981#1,10.31258458356225,47.736851309841825,10.312518137954788,47.736908846162756
-70542982,10.313564196769374,47.73594130712389,10.312934914552054,47.736551633363376
-71894311,10.311424801215,47.711889439963365,10.311332098853079,47.712397708897214
-72875130,10.311821668301503,47.717900780043365,10.311609309096518,47.72001653289214
-74168233#0,10.300655278399114,47.71810807367603,10.300190542575413,47.71791259886656
-74168234,10.292601464284363,47.71588771986942,10.28918842588547,47.71441987916578
-74173618#0,10.322236279375238,47.728111305396794,10.323299231693282,47.731140770839666
-74173618#1,10.323347325457036,47.72539590484097,10.32223571421016,47.72811005221181
-74344912,10.320125559410895,47.716400345095245,10.320325080969559,47.71643961941629
-74347813,10.320330346297338,47.71605436055157,10.320243053709481,47.71617197725867
-74352645#0,10.32043327453514,47.71574032055327,10.320418269118509,47.71584297884228
-74385732#0,10.309207750308968,47.735404976838694,10.309135190812649,47.73543684718784
-74385732#1,10.309233738816003,47.73539352301384,10.309209332358162,47.73540423896211
-74482888#0,10.312990504270518,47.71017021761219,10.312931666348714,47.71019491521075
-75062821#0,10.310458332011109,47.72665137708286,10.310802107420622,47.72533268602973
-75062821#1,10.310277977900645,47.7273721840338,10.310458332011109,47.72665137708286
-75546590,10.296353674033904,47.717185437236246,10.294909883639908,47.716730793121265
-75871191#0,10.315473865654997,47.73025700537239,10.315361015445397,47.73082273323232
-75871191#2,10.31564132653378,47.729408029167324,10.315514447837426,47.730062636768814
-76062084,10.30893531894888,47.73552451670559,10.30795758823376,47.73612385349561
-76062099,10.308193306116815,47.73863281833824,10.307568726648993,47.73954655748439
-8117905,10.315812407852919,47.7241394516345,10.317760359864488,47.724021989459324
-8117928,10.313261589495362,47.724215283964675,10.314534612214352,47.72432361718919
-84368495#0,10.313667720921135,47.71612561743321,10.313590528515897,47.71618948618974
